,From/to,AAA,AA+,AA,AA-,A+,A,A-,BBB+,BBB,BBB-,BB+,BB,BB-,B+,B,B-,CCC,D,NR
1,AAA,87.03,5.89,2.51,0.69,0.16,0.24,0.13,0,0.05,0,0.03,0.05,0.03,0,0.03,0,0.05,0,3.12
2,,-7.17,-6.21,-3.19,-1.04,-0.45,-0.56,-0.34,0,-0.25,0,-0.17,-0.19,-0.14,0,-0.17,0,-0.34,0,-2.42
3,AA+,2.31,78.94,10.91,3.54,0.71,0.33,0.19,0.05,0.09,0.05,0,0,0,0,0,0,0,0,2.88
4,,-3.78,-11.46,-7.3,-4.08,-2.32,-0.81,-0.47,-0.24,-0.66,-0.22,0,0,0,0,0,0,0,0,-2.97
5,AA,0.42,1.31,80.76,8.53,2.72,1.15,0.36,0.39,0.13,0.08,0.05,0.03,0.02,0.02,0,0.02,0.05,0.02,3.96
6,,-0.51,-1.58,-8.91,-6.18,-2.59,-1.22,-0.58,-0.81,-0.35,-0.24,-0.16,-0.12,-0.1,-0.12,0,-0.09,-0.15,-0.08,-2.57
7,AA-,0.04,0.11,3.77,78.8,9.68,2.19,0.6,0.25,0.15,0.07,0.03,0,0,0.03,0.08,0,0,0.03,4.18
8,,-0.13,-0.3,-4.26,-7.43,-4.82,-2.57,-0.82,-0.48,-0.43,-0.24,-0.2,0,0,-0.14,-0.37,0,0,-0.1,-2.02
9,A+,0,0.06,0.44,4.44,78.38,8.73,2.15,0.61,0.34,0.09,0.06,0.09,0.01,0.07,0.03,0,0,0.05,4.45
10,,0,-0.19,-0.68,-2.5,-5.85,-3.23,-1.48,-0.65,-0.43,-0.19,-0.16,-0.25,-0.05,-0.19,-0.13,0,0,-0.14,-1.84
11,A,0.03,0.04,0.22,0.41,5.32,78.88,6.74,2.38,0.86,0.27,0.1,0.1,0.06,0.08,0.02,0,0.01,0.05,4.42
12,,-0.13,-0.13,-0.5,-0.48,-2.01,-5.34,-3.03,-1.72,-0.91,-0.38,-0.19,-0.27,-0.29,-0.28,-0.09,0,-0.05,-0.12,-2.17
13,A-,0.04,0.01,0.06,0.15,0.42,6.49,78.12,7.23,1.98,0.57,0.13,0.13,0.11,0.1,0.02,0.01,0.03,0.06,4.34
14,,-0.19,-0.05,-0.15,-0.27,-0.61,-3.08,-6.14,-3.07,-1.56,-0.61,-0.32,-0.34,-0.23,-0.29,-0.07,-0.08,-0.14,-0.18,-1.8
15,BBB+,0,0.01,0.05,0.06,0.2,0.74,7.13,75.83,7.98,1.56,0.36,0.29,0.13,0.15,0.1,0.02,0.06,0.1,5.23
16,,0,-0.05,-0.15,-0.17,-0.42,-0.96,-2.79,-6.31,-3.28,-1.42,-0.51,-0.56,-0.21,-0.4,-0.29,-0.09,-0.17,-0.26,-1.9
17,BBB,0.01,0.01,0.04,0.03,0.1,0.31,1,7.73,76,6.11,1.34,0.58,0.27,0.22,0.11,0.03,0.05,0.16,5.9
18,,-0.07,-0.07,-0.13,-0.12,-0.21,-0.67,-0.96,-3.09,-5.01,-2.3,-1.05,-0.61,-0.46,-0.44,-0.38,-0.1,-0.12,-0.27,-2.03
19,BBB-,0.01,0.01,0.02,0.04,0.06,0.14,0.25,1.17,9.31,72.4,5.47,2.08,0.83,0.36,0.22,0.16,0.21,0.25,7
20,,-0.07,-0.05,-0.06,-0.19,-0.17,-0.38,-0.52,-1.13,-3.01,-5.11,-2.65,-1.46,-0.75,-0.72,-0.46,-0.43,-0.54,-0.39,-2.12
